"Artigo";"PV";"AN";"CH";"TC";"FI";"KR";"TT";"TU"
"A GPU-FPGA-Based K-Means Clustering Using a Parameterized Code Generator.pdf";0;0;0;0;0;0;0;0
"A Parallel Approach of Simulated Annealing Using GPGPU to Solve the Quadratic Assignment Problem.pdf";0;1;0;0;0;0;0;0
"Automatic Minimization of Execution Costs of SPITS Programs in AWS.pdf";0;0;0;0;0;0;0;0
"Computational Optimization of Model BRASIL-SR.pdf";0;0;0;0;0;0;0;0
"Experimentation and Analysis of Dynamic Checkpoint on Apache Hadoop with Failure Scenarios.pdf";0;0;0;0;0;0;0;0
"Impact of Memory Approximation on Energy Efficiency.pdf";0;0;0;0;0;0;0;0
"Load Balancing for Iterative Applications in Heterogeneous Architectures.pdf";0;0;0;0;0;0;0;0
"Optimizing Geophysics Models Using Thread and Data Mapping.pdf";0;0;0;0;0;0;1;0
"P-TWDTW Parallel Processing of Time Series Remote Sensing Images Using Manycore Architectures.pdf";0;0;0;0;0;0;0;1
"Parallel and Distributed Processing Support for a Geospatial Data Visualization DSL.pdf";0;0;0;0;0;0;0;0
"Performance Evaluation to Provide StaaS to IoT Devices in Fog Computing Environment.pdf";0;0;0;0;0;0;3;0
"Performance and Energy Consumption Aspects in Migrating Big Data Systems to the Cloud.pdf";0;0;0;0;0;0;0;0
"SMCis Scientific Applications Monitoring Tool for HPC Environments.pdf";0;0;0;0;0;0;0;0
"Samsara Architecture Exploring Situation Awareness in Cloud Computing Management.pdf";0;0;0;0;0;0;0;0
"Simulators Usage Analysis to Estimate Power Consumption in Cloud Computing Environments.pdf";0;2;0;0;0;0;0;0
"Transactional Boosting on Glasgow Haskell Compiler.pdf";0;0;0;0;0;0;0;0
"User-Level Transaction Scheduling in Haskell.pdf";0;0;0;0;0;0;0;0
"Video7 An Architecture for Storage and Recovery of Streaming Audio and Video in NoSQL Database.pdf";0;0;0;0;0;1;0;0
