"Artigo";"BW";"BP";"CN";"CU";"CO";"CP";"DI";"DU";"EA";"FE";"TO";"MF";"MI";"MT";"PP";"SU";"TR";"TP"
"14053-73-11044-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;3
"14054-73-11045-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"14056-73-11047-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"14057-73-11048-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14058-73-11049-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14059-73-11050-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;0;0
"14060-73-11051-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0
"14061-73-11052-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0
"14062-73-11053-1-10-20210301.pdf";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1
"14068-73-11059-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"14072-73-11063-1-10-20210301.pdf";0;6;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;7
"14073-73-11064-1-10-20210301.pdf";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"14077-73-11068-1-10-20210301.pdf";7;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2
"14078-73-11069-1-10-20210301.pdf";1;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;0;0
"14079-73-11070-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;0;5
"14080-73-11071-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1
