"Artigo";"BW";"BP";"CN";"CU";"CO";"CP";"DI";"DU";"EA";"FE";"TO";"MF";"MI";"MT";"PP";"SU";"TR";"TP"
"A GPU-FPGA-Based K-Means Clustering Using a Parameterized Code Generator.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3
"A Parallel Approach of Simulated Annealing Using GPGPU to Solve the Quadratic Assignment Problem.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
"Automatic Minimization of Execution Costs of SPITS Programs in AWS.pdf";0;0;0;0;0;1;21;0;0;0;0;0;0;0;0;0;0;7
"Computational Optimization of Model BRASIL-SR.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Experimentation and Analysis of Dynamic Checkpoint on Apache Hadoop with Failure Scenarios.pdf";0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2
"Impact of Memory Approximation on Energy Efficiency.pdf";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
"Load Balancing for Iterative Applications in Heterogeneous Architectures.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;1
"Optimizing Geophysics Models Using Thread and Data Mapping.pdf";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"P-TWDTW Parallel Processing of Time Series Remote Sensing Images Using Manycore Architectures.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Parallel and Distributed Processing Support for a Geospatial Data Visualization DSL.pdf";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
"Performance Evaluation to Provide StaaS to IoT Devices in Fog Computing Environment.pdf";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"Performance and Energy Consumption Aspects in Migrating Big Data Systems to the Cloud.pdf";0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1
"SMCis Scientific Applications Monitoring Tool for HPC Environments.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"Samsara Architecture Exploring Situation Awareness in Cloud Computing Management.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Simulators Usage Analysis to Estimate Power Consumption in Cloud Computing Environments.pdf";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4
"Transactional Boosting on Glasgow Haskell Compiler.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"User-Level Transaction Scheduling in Haskell.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;5
"Video7 An Architecture for Storage and Recovery of Streaming Audio and Video in NoSQL Database.pdf";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
